FlowCount,MinDuration,MaxDuration,MeanDuration,Variance,StdDeviation,TotalDuration,SumPackets,Rate,Entropy,Type
2,66,132,99.0,1089.0,33.0,198,3,0.1,0.30102999566398114,attack
5,74,276,148.2,4724.160000000001,68.73252505182681,741,10,0.3333333333333333,0.45814600780483383,attack
79,54,955,262.24050632911394,29823.11937189553,172.69371549623781,20717,255,8.5,0.729338649782963,attack
206,54,1083,343.31553398058253,46173.575195588644,214.88037415173272,70723,834,27.8,0.7549146576553784,attack
29,107,629,244.44827586206895,16371.35077288942,127.95057941599725,7089,107,3.566666666666667,0.6881573461527329,attack
80,54,953,262.4875,29318.349843750002,171.22601976262254,20999,288,9.6,0.7330835620021137,attack
77,54,6734,297.45454545454544,560235.2349468716,748.4886338127465,22904,264,8.8,0.6869307389994163,attack
40,74,662,193.85,25384.0775,159.32381334878977,7754,99,3.3,0.6305026129340847,attack
54,58,953,321.9074074074074,30568.86179698217,174.83953156246494,17383,219,7.3,0.7577872002767901,attack
30,140,654,340.3,11246.143333333335,106.04783511856023,10209,130,4.333333333333333,0.5715760487879671,attack
20,66,565,277.2,12850.86,113.3616337214668,5544,75,2.5,0.6046774379777632,attack
32,66,517,225.28125,11337.1396484375,106.47600503605261,7209,99,3.3,0.6721873987315199,attack
84,74,1025,269.6309523809524,26043.875708616783,161.3811504129797,22649,288,9.6,0.5825842815910857,attack
4,120,1949,1022.25,724067.1875,850.9213756276193,4089,29,0.9666666666666667,0.6020599913279623,attack
18,83,346,187.0,8275.333333333334,90.96885914055059,3366,39,1.3,0.5259497338295565,attack
5,87,276,183.8,6041.76,77.72875915644093,919,13,0.43333333333333335,0.45814600780483383,attack
3,66,132,95.0,758.0,27.53179979587241,285,4,0.13333333333333333,0.27643459094367495,attack
93,54,1010,223.08602150537635,19926.9603422361,141.16288585260682,20747,324,10.8,0.739193603722225,attack
45,66,2617,394.6222222222222,158317.56839506174,397.89140276595793,17758,184,6.133333333333334,0.6880826156912125,attack
6,74,276,196.33333333333334,5169.888888888889,71.90193939588062,1178,17,0.5666666666666667,0.5774645866076561,attack
36,58,654,219.83333333333334,19625.25,140.09014954664013,7914,105,3.5,0.6895975035226489,attack
100,66,732,325.31,18533.6139,136.13821616283946,32531,401,13.366666666666667,0.5967314562076206,attack
54,66,513,264.55555555555554,11445.580246913582,106.98401865191633,14286,192,6.4,0.6344915339576522,attack
108,54,955,249.7314814814815,25302.696416323728,159.0682130921314,26971,346,11.533333333333333,0.7221633467231389,attack
116,58,955,282.2241379310345,19899.29458977408,141.06485951424642,32738,422,14.066666666666666,0.6299251032253698,attack
38,54,1920,271.1578947368421,154159.13296398893,392.63103922638226,10304,116,3.8666666666666667,0.7456118529600966,attack
88,66,1012,281.59090909090907,20477.787190082647,143.10061911145823,24780,315,10.5,0.6740171815212119,attack
54,66,598,257.9074074074074,12887.158093278462,113.52161949725023,13927,194,6.466666666666667,0.7071120525416661,attack
82,54,1033,326.9268292682927,40319.580011897684,200.79736057004754,26808,344,11.466666666666667,0.7146193581145037,attack
210,54,1083,360.0285714285714,41612.94204081632,203.9925048643119,75606,882,29.4,0.7362929969896725,attack
102,54,714,250.14705882352942,14369.262687427909,119.87185944761143,25515,364,12.133333333333333,0.6545320888613291,attack
66,74,736,305.6363636363636,30005.473829201102,173.22088161997416,20172,291,9.7,0.7135160968352153,attack
140,54,953,273.7857142857143,17750.939795918366,133.23265288929124,38330,542,18.066666666666666,0.6633299725551746,attack
90,54,955,271.2,30512.048888888883,174.6769844280834,24408,311,10.366666666666667,0.6947324519637428,attack
152,54,955,277.49342105263156,22471.526272506926,149.9050575281132,42179,558,18.6,0.627322108998524,attack
16,54,457,218.1875,11054.40234375,105.13991793676652,3491,54,1.8,0.6044249021471158,attack
120,54,1312,292.7916666666667,33458.064930555556,182.91545842425555,35135,468,15.6,0.6284316051576582,attack
94,54,740,272.56382978723406,11869.735287460388,108.94831475273212,25621,355,11.833333333333334,0.6250356380746313,attack
96,54,654,293.7604166666667,13357.015516493057,115.57255520448207,28201,390,13.0,0.5988586629568327,attack
152,54,1027,360.67105263157896,39712.56284626039,199.2801115170814,54822,618,20.6,0.5982483615356716,attack
78,54,654,251.42307692307693,14693.115877712034,121.21516356344216,19611,272,9.066666666666666,0.6907561388368915,attack
2,396,462,429.0,1089.0,33.0,858,13,0.43333333333333335,0.30102999566398114,attack
194,54,1025,272.9742268041237,23802.220985226908,154.2796842919602,52957,704,23.466666666666665,0.6734769487167503,attack
90,66,598,248.14444444444445,11628.056913580247,107.83346842970529,22333,332,11.066666666666666,0.67886377412504,attack
